"","IntClusti","N_WholeSeries","N_WS_AgeAssoc_Probesets","N_WS_AgeAssoc_Probesets_cGenomicLoc","N_WS_AgeAssoc_GeneNames","N_NoOverlapBigSeries","N_NOv_AgeAssoc_Probesets","N_NOv_AgeAssoc_Probesets_cGenomicLoc","N_NOv_AgeAssoc_GeneNames","N_WS_AgeAssoc_Probesets_arGeneSet","N_WS_AgeAssoc_Probesets_cGenomicLoc_arGeneSet","N_WS_AgeAssoc_GeneNames_arGeneSet","N_NOv_AgeAssoc_Probesets_arGeneSet","N_NOv_AgeAssoc_Probesets_cGenomicLoc_arGeneSet","N_NOv_AgeAssoc_GeneNames_arGeneSet"
"1","iClust 1",140,113,112,105,82,21,21,20,12,12,10,8,8,7
"2","iClust 2",72,0,0,0,42,0,0,0,0,0,0,0,0,0
"3","iClust 3",294,1584,1581,1387,175,407,406,362,36,36,31,13,13,11
"4","iClust 4",344,1235,1232,1076,218,92,92,83,37,37,30,3,3,2
"5","iClust 5",191,19,19,18,114,79,78,76,6,6,6,4,4,3
"6","iClust 6",86,0,0,0,55,0,0,0,8,8,7,5,5,4
"7","iClust 7",193,91,91,76,95,2,2,1,9,9,7,0,0,0
"8","iClust 8",300,1292,1289,1144,165,392,390,358,27,27,23,15,15,12
"9","iClust 9",146,1,1,1,87,0,0,0,0,0,0,0,0,0
"10","iClust 10",226,0,0,0,128,0,0,0,0,0,0,0,0,0
