Gene,BigSeries_TMA_WholeSeries_Correlation
bcl2_c_v2.ppnc,0.3004086784286946
ca9_b0v123_v1n,-0.13202497954871256
ck56_v1nc,-0.12524709379126242
cldn3_v1nc,-0.11284406368701391
cryab_b0v12_v1.1n,-0.08937655530044221
cycline_v1.1.ppn,0.0778540128821859
ecad_v1nc,0.02981566697443938
egfr_v1nc,0.06585772773439438
ephb4_v1.1nc,-0.2529432042963366
er_dcc_v1n,0.299257712356084
ezh2_v1.ppnc,-0.2160295725011251
foxa1_v1.ppnc,0.19643108026147174
gata3_v1nc,0.13170618509550389
h3k27me3_v1.1.ppnc,-0.04056232764225911
her3_v1.1nc,0.09934160702587774
her4_v1nc,0.25084542367056517
hsp27_v1nc,-0.08171699770141731
igf1r_v2.0.1.ppn,0.09110054656671873
igfbp2_v1nc,-0.009743236099519104
inpp4b_c_v1.ppn,0.38630987377810583
ki67_c_v1.6nc,-0.08331119249736885
kit_v1nc,-0.042091723956743016
krt5_v1nc,-0.11311948401985536
ku7080_c_v1nc,-0.08578288779093463
mdm2_v1nc,-0.007411863067245339
nestin_v1nc,-0.13638807076124201
p16_c1v1nc,0.17521906302926507
p27_v1nc,0.30322781016501504
p53_c_v1.1.1.pnnc,-0.14121050581201214
pcad_v1.1.ppnc,0.19721136685618673
pgp_v1nc,-0.1528162468663723
pipki_v1nc,0.14307670540803463
plau_c1v1,0.520565473173282
podxl_v1nc,0.09593191568558374
pr_v3nc,-0.15524737574967776
psf_c_v1nc,-0.047672713147668244
pten_v1nc,-0.16298811415939524
ret_v1nc,0.11380970637446386
skp2_v1nc,-0.21858089172458348
trim29_v1nc,-0.12088061178089579
yb1_v1.2nc,-0.13196461949435814
